model_family,seed,test_auc_standard,test_d_auc_standard,df40_auc_standard,test_auc_robust,test_d_auc_robust,df40_auc_robust,test_auc_gain,test_d_auc_gain,df40_auc_gain
clip,7,0.924122685221,0.75588763272,0.797417544352,0.9068,0.8436,0.7979,-0.0173226852211,0.0877123672796,0.000482455648442
clip,42,0.917228470643,0.737048063193,0.752370207245,0.9066,0.8459,0.816,-0.0106284706426,0.108851936807,0.0636297927554
clip,123,0.920994778066,0.743795570886,0.780372570366,0.9101,0.8492,0.8049,-0.0108947780657,0.105404429114,0.0245274296343
clip,2024,0.913692066206,0.744733861031,0.721251928928,0.9075,0.8434,0.8325,-0.00619206620567,0.0986661389692,0.111248071072
clip,2025,0.921291371259,0.762873702434,0.705901990549,0.9065,0.8446,0.8082,-0.0147913712595,0.0817262975657,0.102298009451
dino,7,0.944841070452,0.722022102495,0.667338608441,0.9269,0.8574,0.8097,-0.0179410704524,0.135377897505,0.142361391559
dino,42,0.927555336601,0.703746501203,0.717114156523,0.9174,0.8277,0.7768,-0.0101553366011,0.123953498797,0.0596858434775
dino,123,0.935705358753,0.728556944567,0.722651525587,0.9434,0.8662,0.7529,0.00769464124651,0.137643055433,0.0302484744126
dino,2024,0.934391379899,0.717184297531,0.727771127676,0.9196,0.8206,0.8192,-0.0147913798994,0.103415702469,0.091428872324
dino,2025,0.936505810313,0.702197141234,0.738094178133,0.9274,0.85,0.7373,-0.00910581031284,0.147802858766,-0.000794178132845
mobilenet,7,0.850954856057,0.673040136699,0.688723477573,0.8242,0.7449,0.6985,-0.0267548560573,0.0718598633012,0.00977652242666
mobilenet,42,0.846115215376,0.671740539285,0.698340481501,0.8362,0.7518,0.7096,-0.0099152153759,0.0800594607146,0.0112595184988
mobilenet,123,0.844571807887,0.676028837728,0.701810233529,0.8296,0.7506,0.6735,-0.0149718078867,0.0745711622722,-0.0283102335287
mobilenet,2024,0.847269661839,0.66413457183,0.70062706213,0.8265,0.7405,0.7056,-0.0207696618393,0.0763654281697,0.00497293787048
mobilenet,2025,0.846296576369,0.665078577342,0.70238433566,0.8396,0.7569,0.718,-0.00669657636857,0.0918214226582,0.01561566434
resnet,7,0.883310631527,0.655942575179,0.704045852281,0.8475,0.7695,0.6846,-0.0358106315272,0.113557424821,-0.0194458522809
resnet,42,0.898836479121,0.673909184267,0.710275420954,0.8503,0.7695,0.67,-0.0485364791208,0.0955908157327,-0.0402754209537
resnet,123,0.889302330369,0.6735816762,0.690606317131,0.8538,0.7752,0.6659,-0.0355023303688,0.1016183238,-0.0247063171313
resnet,2024,0.867747061797,0.656854371756,0.731787824947,0.8569,0.774,0.6576,-0.0108470617971,0.117145628244,-0.0741878249475
resnet,2025,0.883144672367,0.663451699713,0.66331265277,0.8351,0.7567,0.7209,-0.0480446723669,0.0932483002875,0.0575873472303
vit,7,0.819603272043,0.688214050857,0.701627668953,0.8305,0.7713,0.6964,0.0108967279572,0.0830859491425,-0.00522766895334
vit,42,0.821189154625,0.691283140289,0.692076580275,0.82,0.7619,0.7257,-0.00118915462526,0.0706168597108,0.0336234197254
vit,123,0.819391217668,0.706061805648,0.682874154138,0.8253,0.7647,0.7118,0.00590878233206,0.0586381943521,0.0289258458622
vit,2024,0.798488422742,0.683520086358,0.706880273078,0.8213,0.7645,0.7486,0.022811577258,0.0809799136423,0.0417197269224
vit,2025,0.812891438231,0.693253118682,0.71321811133,0.8163,0.7571,0.7321,0.00340856176876,0.0638468813177,0.0188818886699
xception,7,0.775040053724,0.628632719564,0.748072113203,0.7524,0.6811,0.6793,-0.0226400537238,0.052467280436,-0.0687721132025
xception,42,0.773015474897,0.63068905897,0.742023433156,0.7559,0.6817,0.6556,-0.0171154748967,0.0510109410297,-0.0864234331558
xception,123,0.765921043352,0.629672022065,0.73029971213,0.7556,0.6869,0.6736,-0.0103210433516,0.0572279779353,-0.0566997121305
xception,2024,0.776771911103,0.628418138384,0.736204683592,0.7545,0.6843,0.68,-0.022271911103,0.0558818616155,-0.0562046835917
xception,2025,0.773838853808,0.631303332671,0.740649561505,0.7542,0.6912,0.6704,-0.0196388538084,0.0598966673293,-0.0702495615049
