family,metric,n_seeds,standard_mean,standard_sd,robust_mean,robust_sd,gain_mean,gain_sd,positive_pairs
resnet,test_auc,5,0.884468235036,0.0113192801701,0.84872,0.00839952379603,-0.0357482350361,0.0152878575094,0
resnet,test_d_auc,5,0.664747901423,0.00871043052771,0.76898,0.00733532548698,0.104232098577,0.0106755371138,5
resnet,df40_auc,5,0.700005613617,0.0253309177608,0.6798,0.024971683964,-0.0202056136166,0.0484495991559,1
mobilenet,test_auc,5,0.847041623506,0.0023915845655,0.83122,0.00650399876999,-0.0158216235055,0.00810698751409,0
mobilenet,test_d_auc,5,0.670004532577,0.00517789383758,0.74894,0.00636105337189,0.0789354674232,0.00779467186841,5
mobilenet,df40_auc,5,0.698377118079,0.00561472260924,0.70104,0.0169308298674,0.00266288192143,0.0177267513468,4
xception,test_auc,5,0.772917467377,0.00415844372361,0.75452,0.00138455769111,-0.0183974673767,0.00503547473248,0
xception,test_d_auc,5,0.629743054331,0.00125724743166,0.68504,0.00414222162613,0.0552969456692,0.00359184119671,5
xception,df40_auc,5,0.739449900717,0.00664571645356,0.67178,0.00988847814378,-0.0676699007171,0.0123628550751,0
vit,test_auc,5,0.814312701062,0.00940072946915,0.82268,0.00542696968851,0.00836729893815,0.00917870320728,4
vit,test_d_auc,5,0.692466440367,0.00844057293032,0.7639,0.00514781507049,0.0714335596331,0.0105931241313,5
vit,df40_auc,5,0.699335357555,0.0120267655639,0.72292,0.0198647174659,0.0235846424453,0.0181000826892,4
clip,test_auc,5,0.919465874279,0.00405273700308,0.9075,0.00150499169433,-0.0119658742789,0.00427058578851,0
clip,test_d_auc,5,0.748867766053,0.0103436755096,0.84534,0.00237444730411,0.0964722339471,0.0115329124297,5
clip,df40_auc,5,0.751462848288,0.0385257083894,0.8119,0.0132274336135,0.0604371517121,0.04803214448,5
dino,test_auc,5,0.935799791204,0.00616860529252,0.92694,0.0101984312519,-0.00885979120384,0.00991768085637,1
dino,test_d_auc,5,0.714741397406,0.0114901248512,0.84438,0.0194995384561,0.129638602594,0.0169330436556,5
dino,df40_auc,5,0.714593919272,0.0275238169816,0.77918,0.035296274591,0.0645860807281,0.05533352559,4
