model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
clip,complex,finetune,7,0.530877496881,0.573496677604,0.728928477862,0.57350079701,0.999923331257,0.000115976392361,0.51982503147,0.573485685392,0.728930960407,0.573491260855,0.999961665628,3.86587974537e-05,-0.0110524654115,-1.09922120178e-05
clip,complex,finetune,42,0.590820956696,0.573491181498,0.728935400264,0.57349360507,0.999971249221,3.86587974537e-05,0.561651912651,0.573496677604,0.728941733703,0.573495141362,0.999990416407,2.57725316358e-05,-0.0291690440455,5.49610600886e-06
clip,complex,finetune,123,0.5,0.573491181498,0.728941081134,0.573491181498,1,0,0.5,0.573491181498,0.728941081134,0.573491181498,1,0,0,0
clip,complex,finetune,2024,0.5,0.573491181498,0.728941081134,0.573491181498,1,0,0.5,0.573491181498,0.728941081134,0.573491181498,1,0,0,0
clip,complex,finetune,2025,0.51374901283,0.573491181498,0.728941081134,0.573491181498,1,0,0.517135149848,0.573491181498,0.728941081134,0.573491181498,1,0,0.0033861370176,0
clip,concat,finetune,7,0.897044919905,0.821123733835,0.832301081031,0.900088042885,0.774009296085,0.884474626943,0.715677589996,0.675790202641,0.72708093328,0.702851622598,0.753040394844,0.57191824953,-0.181367329909,-0.145333531193
clip,concat,finetune,42,0.890505042996,0.81238492528,0.824682861692,0.888474520002,0.769437922277,0.870132213087,0.72805586778,0.676378285984,0.714575173537,0.722964953752,0.706377881068,0.636040308239,-0.162449175216,-0.136006639296
clip,concat,finetune,123,0.897315644795,0.820112450329,0.829520595037,0.908560866241,0.763131918156,0.896729465735,0.735960787339,0.686634019797,0.730397858919,0.720880741481,0.740169629594,0.614649106982,-0.161354857456,-0.133478430532
clip,concat,finetune,2024,0.888482214735,0.803986875299,0.809674251804,0.913546646756,0.727011356558,0.907489497693,0.738257220805,0.682385529852,0.71238235543,0.741027977386,0.685868992285,0.677701605629,-0.150224993929,-0.121601345447
clip,concat,finetune,2025,0.896964868154,0.817925000137,0.826750899506,0.909900887523,0.757525516316,0.899139197443,0.711802706784,0.667897794413,0.716571369604,0.701749228282,0.732033159231,0.581660266488,-0.18516216137,-0.150027205725
clip,concat_frequency,finetune,7,0.786630661118,0.711426954003,0.734174779892,0.77819516593,0.694867986008,0.733692430607,0.643775456048,0.630392367008,0.690540285581,0.664190995521,0.719066558053,0.511159506198,-0.14285520507,-0.0810345869951
clip,concat_frequency,finetune,42,0.778585740298,0.705315284121,0.724074579167,0.781909927533,0.674205759739,0.747145692121,0.644893021079,0.623461777331,0.683474709394,0.659836394615,0.708869615219,0.508620911832,-0.133692719219,-0.0818535067904
clip,concat_frequency,finetune,123,0.768301098179,0.695317867291,0.718358803447,0.764410133316,0.677540850065,0.719221154094,0.65103427606,0.622153704101,0.682336959033,0.658811667395,0.707604580957,0.507254967655,-0.117266822118,-0.0731641631904
clip,concat_frequency,finetune,2024,0.776486257311,0.703759886121,0.723493320748,0.778433991632,0.675796636159,0.741359758769,0.657367970123,0.627072718979,0.683673421817,0.665634815447,0.702716948584,0.52536017113,-0.119118287188,-0.0766871671421
