model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
clip,complex,finetune,celeb_df_frame,0.4707995887493574,0.0537234313417375,0.6563706563706564,0.0,0.7925407925407926,0.0,0.6563706563706564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
clip,concat,finetune,celeb_df_frame,0.6051063817287214,0.020443628670033433,0.5923552123552124,0.033788330882324843,0.6712561997087236,0.052213090397900556,0.7097256187704211,0.010171514135890243,0.6424705882352941,0.09175083689395984,0.4966292134831461,0.08356257657596881,0.0,0.0
clip,concat_frequency,finetune,celeb_df_frame,0.4690185576852464,0.018546015959418242,0.35490347490347485,0.00934588043834688,0.47136168796252553,0.0023894541225454387,0.32809078851163687,0.0019012826768654337,0.8370037453183521,0.016120974439722782,0.10250980392156858,0.022010797392312806,3.4794483583451052,0.7652160811521259
clip,frequency_3,finetune,celeb_df_frame,0.5453124476756995,0.007263936838053707,0.6169111969111969,0.01176448714174042,0.736518070014784,0.015449435506167418,0.6709786063368346,0.002290390712785065,0.8171764705882353,0.03956039674204885,0.23438202247191006,0.04230170865486058,0.0,0.0
clip,magnitude,finetune,celeb_df_frame,0.5129627230667548,0.010734742624471374,0.6052767052767052,0.01628450819859629,0.7288400239369535,0.01613993428815034,0.6632812481940853,0.004498497785952382,0.8092549019607842,0.034578085301002835,0.21565543071161047,0.02100452535590663,0.0,0.0
clip,none,finetune,celeb_df_frame,0.6667148723409464,0.026810474419936507,0.5913341913341913,0.04616290208269977,0.6301942935153303,0.07943709104176738,0.7684607842218214,0.0303617661743239,0.5482679738562092,0.1366363325644025,0.6735955056179775,0.14211531400195387,0.0,0.0
clip,none,finetune_robust,celeb_df_frame,0.6293614354605762,0.010633285610311736,0.6345345345345345,0.015845001772796043,0.7215868725590789,0.021993729557519864,0.7208977709884251,0.006908160793192324,0.7238888888888889,0.04783677499751912,0.4638576779026217,0.04956897356670252,0.0,0.0
clip,phase,finetune,celeb_df_frame,0.5425522728941764,0.014946266823456041,0.5992020592020593,0.020799390216706713,0.7065621747716782,0.024619742110195783,0.6793118731382324,0.00762333296775315,0.737450980392157,0.05032325341906036,0.33513108614232207,0.045464678490879144,0.0,0.0
dino,complex,finetune,celeb_df_frame,0.5038890798266873,0.005660279752644787,0.5938223938223939,0.1398621669324193,0.6340326340326341,0.3544350174125541,0.5250965250965252,0.2935378812161886,0.8,0.4472135954999579,0.2,0.447213595499958,0.0,0.0
dino,concat,finetune,celeb_df_frame,0.6473906220165968,0.017437610680869405,0.6495495495495496,0.02132173132784952,0.7433586340362568,0.027977886940157688,0.714382454210614,0.006629298669125213,0.7775686274509803,0.06614190818576704,0.4050187265917603,0.06728274440653999,0.0,0.0
dino,concat_frequency,finetune,celeb_df_frame,0.41230078578247775,0.028219964812386145,0.3384298584298584,0.0024053499721270084,0.49597178326810365,0.002095453829154811,0.33593389364919524,0.0009424464255549105,0.9472659176029963,0.009247979026620633,0.01968627450980388,0.00746335401882448,2.9108115347842762,0.34084704859405357
dino,frequency_3,finetune,celeb_df_frame,0.5369014981273408,0.022347257127902836,0.6311969111969111,0.009388319331914103,0.7638827959336625,0.009186340329730737,0.6586401281855744,0.0021910789508597706,0.9094117647058824,0.02390910958094174,0.09977528089887638,0.020833869874839907,0.0,0.0
dino,magnitude,finetune,celeb_df_frame,0.5126322170815891,0.010240865533161989,0.6277992277992278,0.01833762321216993,0.7586523531461598,0.019631522522432682,0.6597904250422127,0.00303754252752116,0.8935686274509804,0.049671430996958976,0.12014981273408236,0.04378291570927456,0.0,0.0
dino,none,finetune,celeb_df_frame,0.6727935791045506,0.06184725585095021,0.6274989274989274,0.06821867647360937,0.6797312177486035,0.10012796491013586,0.7669991997592378,0.048603193009833026,0.6345424836601307,0.18631869101090726,0.6140449438202248,0.22176545167134235,0.0,0.0
dino,none,finetune_robust,celeb_df_frame,0.6295723666495312,0.018575448034343373,0.6757185757185757,0.01531686540648892,0.7831733982050562,0.018908548052692497,0.6973682899119655,0.010133884417324976,0.8956209150326798,0.05891008881893337,0.2556803995006242,0.0787848584227105,0.0,0.0
dino,phase,finetune,celeb_df_frame,0.5756435631930674,0.013740950731956608,0.6333848133848134,0.015665401658156528,0.7515257489292961,0.016454490025051012,0.6764492336774101,0.004697713345729016,0.8462352941176471,0.04175029669505758,0.22681647940074906,0.04062211719761263,0.0,0.0
mobilenet,complex,finetune,celeb_df_frame,0.5362852390394359,0.006910262725635471,0.4764736164736164,0.003321859772400643,0.4809371134990307,0.007772236660615707,0.6886267642040087,0.006276042053189881,0.3696078431372549,0.009975941840717624,0.6805992509363297,0.01588650851422416,0.0,0.0
mobilenet,concat,finetune,celeb_df_frame,0.5496087023573475,0.014630955577892228,0.5496525096525097,0.0198136345627913,0.6253755116248919,0.031349238736408186,0.6876656664692552,0.007972563475229536,0.5749411764705882,0.048824198751219426,0.5013483146067416,0.04256221038179935,0.0,0.0
