Ensemble,Fusão,Frame AUC (%),Frame ACC (%),Video AUC (%),Video ACC (%),Video F1 (%)
TODOS OS 6 ROBUSTOS,geom,67.8,67.1,72.6,72.01,79.2
TODOS OS 6 ROBUSTOS,mean,67.49,68.67,72.16,69.11,80.1
CLIP + DINO + XCEPTION,geom,65.84,66.56,71.41,70.08,78.8
CLIP + DINO + RESNET,geom,66.12,66.98,71.36,69.5,78.53
CLIP + DINO + RESNET,mean,65.76,67.76,70.7,68.15,79.35
CLIP + DINO + XCEPTION,mean,65.42,67.48,70.69,67.57,79.16
CLIP + DINO + VIT,geom,65.82,62.75,70.43,66.02,72.84
CLIP + DINO,geom,65.09,65.69,70.17,69.5,78.12
CLIP + DINO + VIT,mean,65.26,67.1,69.93,69.88,78.69
TODOS OS 6 ROBUSTOS,max,64.92,66.02,69.76,65.64,79.25
CLIP + DINO,mean,64.81,68.08,69.53,68.92,79.33
DINO + XCEPTION + VIT,geom,64.65,62.74,69.24,64.67,71.8
DINO + XCEPTION + VIT,mean,64.29,67.04,69.01,69.69,79.26
CLIP + DINO + RESNET,max,64.54,66.94,68.95,66.8,79.62
CLIP + DINO + XCEPTION,max,62.95,66.36,68.64,66.22,79.53
CLIP + DINO + VIT,max,63.05,66.92,68.56,67.37,79.76
CLIP + DINO,max,63.01,66.9,68.3,66.41,78.99
DINO + XCEPTION + VIT,max,61.43,66.29,66.3,65.83,79.25
