type,k,id,label,members,strategy,n_seeds,val_auc_m,val_auc_s,val_acc_m,val_acc_s,test_auc_m,test_auc_s,test_acc_m,test_acc_s,test_f1_m,test_f1_s,test_d_auc_m,test_d_auc_s,test_d_acc_m,test_d_acc_s,test_d_f1_m,test_d_f1_s,delta_auc_m,delta_auc_s,df40_auc_m,df40_auc_s
multi_model,2,clip_dino,CLIP + DINO,clip + dino,stacking,5,0.9964123038399644,0.00046416262745677605,0.9789892985349103,0.0029300885373216416,0.9366490234263642,0.004526977597867973,0.8467960450021159,0.009055258732269929,0.8515007228293092,0.010757708102673194,0.8668571674873297,0.01065608293103745,0.7605478518469664,0.01156665374837286,0.7587601112103509,0.013610572131911252,-0.06979185593903452,0.007849604980704592,0.8225895187171484,0.017226598696976382
multi_model,2,clip_dino,CLIP + DINO,clip + dino,geometric,5,0.9963432612634895,0.0005746043490860448,0.97383468034717,0.003206945601047721,0.9395637852244786,0.005765981326986404,0.8600097830686959,0.008230055299959786,0.8678307799956789,0.008054182111806104,0.8780549814065861,0.010987713602582744,0.7857969628518195,0.010066505335980457,0.792038302774694,0.009615607816355358,-0.061508803817892345,0.006976426762265772,0.8247122403169425,0.01782439257892042
multi_model,2,clip_dino,CLIP + DINO,clip + dino,mean,5,0.9962392926565489,0.0005269252030489186,0.9754253102881998,0.004122065619459532,0.9359502470792194,0.003841444441143738,0.838278179909534,0.005510605396961793,0.8418391969034935,0.006865500972143416,0.8690450580013425,0.009653966768926056,0.7581900223691515,0.008452126186620309,0.7528515300471057,0.009328410297234786,-0.06690518907787699,0.007106223314089339,0.8264431770362531,0.015035799249234377
multi_model,2,clip_dino,CLIP + DINO,clip + dino,max,5,0.9946183956156405,0.0005079404814633618,0.9713103017718152,0.003446810114822917,0.9316949769222225,0.003022638371128262,0.8372163322286161,0.006445514825100068,0.8426620848409406,0.00809023938161089,0.8614651053166675,0.010297009993659434,0.7560564340164994,0.0075039515022416155,0.7549629435937433,0.009928630004488037,-0.07022987160555491,0.008462198166680684,0.816178068865766,0.0152382083758518
multi_model,2,clip_resnet,CLIP + ResNet,clip + resnet,stacking,5,0.9906995832712047,0.0004596949271972037,0.9584984019054985,0.0017117141677156624,0.9127505927969407,0.0038569615273002346,0.827800403414181,0.0036595263764092538,0.8351744633528716,0.005383635046989873,0.844897438544414,0.0024349264430504887,0.7540646451988766,0.005434789348356879,0.7562252919462208,0.006016976052515025,-0.06785315425252662,0.0028249509721730397,0.7809082590879652,0.008002107570857238
multi_model,2,clip_resnet,CLIP + ResNet,clip + resnet,geometric,5,0.9895745634174966,0.000430768607829702,0.948422602688599,0.0007909447766861656,0.9119764931047104,0.0023745218412677695,0.8112351399033784,0.00413038930395232,0.8178055059225494,0.00496088540619952,0.8511392915256403,0.0028357860908597237,0.7529588286698874,0.005757450565021271,0.7582214414073334,0.010415090021842006,-0.06083720157907009,0.002670013390152667,0.7821607204147842,0.007027078915161664
multi_model,2,clip_resnet,CLIP + ResNet,clip + resnet,mean,5,0.9907132249469235,0.0004311587893668996,0.9598040213622145,0.001477312292322704,0.9115920086498985,0.00407195364043192,0.8206049014273388,0.003306159259883145,0.82651278905385,0.004343901815376963,0.8425583919285881,0.0031573399120473668,0.743673707178464,0.006658488084238927,0.7442474664955755,0.005300390583112696,-0.0690336167213104,0.003337013929195215,0.7765187167903729,0.005625445211752095
multi_model,2,clip_resnet,CLIP + ResNet,clip + resnet,max,5,0.9902307323698208,0.0005097324497632257,0.954806837537238,0.0011508902768164228,0.9081880919569313,0.006249089747200203,0.8140722298251688,0.004541298731980219,0.8206312677495363,0.004802677515533628,0.8290640517112701,0.006640007995937303,0.7263137067387756,0.007347152494162888,0.7259921618052066,0.013207918628483003,-0.07912404024566122,0.0053696627840164905,0.749841951471472,0.011776138152179061
multi_model,2,dino_resnet,DINO + ResNet,dino + resnet,stacking,5,0.9920681693501733,0.0008604026238064089,0.9673567991965418,0.00499376543823958,0.9109041806579554,0.005498987975332695,0.8187714004627722,0.010232480069461732,0.8211943319589977,0.013453649557643086,0.8240541657798726,0.00988223140552608,0.7323341412609167,0.013374063931879511,0.730292180916842,0.015943141353642283,-0.08685001487808279,0.008879756981011237,0.7484121128764553,0.023360510531255926
multi_model,2,dino_resnet,DINO + ResNet,dino + resnet,geometric,5,0.9923296137915238,0.0014811172118892482,0.9636910214911477,0.0051894649100568705,0.9152945149105987,0.00788057829892527,0.8274310650903836,0.01229955560468127,0.8339248748977994,0.01276016817465341,0.8321780156911457,0.013751020981567242,0.7467724117462777,0.012592586405514765,0.755607651851081,0.012178892576564153,-0.08311649921945315,0.009218766893154384,0.753452808668127,0.022140001651112275
