model_family,seed,regime,val_auc,test_auc,test_acc,test_f1,test_d_auc,test_d_acc,test_d_f1,df40_auc,delta_auc,elapsed_min,cached
clip,42,finetune_robust,0.9852,0.9066,0.8156,0.822,0.8459,0.7465,0.7432,0.816,-0.0607,427.8,False
clip,123,finetune_robust,0.9848,0.9101,0.8208,0.8289,0.8492,0.7511,0.7496,0.8049,-0.0609,430.1,False
clip,2024,finetune_robust,0.984,0.9075,0.8138,0.8178,0.8434,0.7416,0.7371,0.8325,-0.0641,430.4,False
clip,7,finetune_robust,0.9846,0.9068,0.8091,0.8133,0.8436,0.7394,0.7335,0.7979,-0.0632,432.9,False
clip,2025,finetune_robust,0.9838,0.9065,0.8097,0.8145,0.8446,0.7371,0.7289,0.8082,-0.0619,433.6,False
dino,42,finetune_robust,0.9926,0.9174,0.824,0.8307,0.8277,0.7341,0.7384,0.7768,-0.0898,438.2,False
dino,123,finetune_robust,0.995,0.9434,0.8555,0.861,0.8662,0.7654,0.7731,0.7529,-0.0772,544.2,False
dino,2024,finetune_robust,0.9921,0.9196,0.8472,0.8557,0.8206,0.7419,0.7525,0.8192,-0.099,403.5,False
dino,7,finetune_robust,0.9921,0.9269,0.8324,0.8375,0.8574,0.7552,0.7569,0.8097,-0.0695,497.3,False
dino,2025,finetune_robust,0.9938,0.9274,0.8307,0.8359,0.85,0.7402,0.736,0.7373,-0.0773,368.3,False
resnet,42,finetune_robust,0.9729,0.8503,0.754,0.7561,0.7695,0.6852,0.6929,0.67,-0.0808,395.7,False
resnet,123,finetune_robust,0.9753,0.8538,0.7504,0.7485,0.7752,0.682,0.6815,0.6659,-0.0786,379.0,False
resnet,2024,finetune_robust,0.9732,0.8569,0.7579,0.7607,0.774,0.6918,0.7015,0.6576,-0.083,392.3,False
resnet,7,finetune_robust,0.9724,0.8475,0.7521,0.7563,0.7695,0.6821,0.6886,0.6846,-0.0781,391.4,False
